
Weather{id=null, lon='-3.7', lat='42.35', city='Burgos', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='16.55', mainPressure='916.85', mainHumidity='65.0', mainTempMin='16.55', mainTempMax='16.55', mainSeaLevel='1017.52', mainGroundLevel='16.55', windSpeed='4.81', windDeg='194.501', rain3H='0.2025', cloudsAll='92', dt='1477153548', sysMessage='0.0101', sysCountry='ES', sysSunriseAsTimestamp='1477118222', sysSunsetAsTimestamp='1477156831', sysSunrise='2016-10-22T06:37:02Z', sysSunset='2016-10-22T17:20:31Z', cod='200'}
Weather{id=null, lon='-6.37', lat='39.48', city='Caceres', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='20.0', mainPressure='979.59', mainHumidity='79.0', mainTempMin='20.0', mainTempMax='20.0', mainSeaLevel='1018.49', mainGroundLevel='20.0', windSpeed='4.91', windDeg='194.501', rain3H='null', cloudsAll='44', dt='1477153409', sysMessage='0.0052', sysCountry='ES', sysSunriseAsTimestamp='1477118627', sysSunsetAsTimestamp='1477157710', sysSunrise='2016-10-22T06:43:47Z', sysSunset='2016-10-22T17:35:10Z', cod='200'}
Weather{id=null, lon='123.29', lat='10.95', city='Cadiz', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10n', base='stations', mainTemp='25.85', mainPressure='1007.15', mainHumidity='91.0', mainTempMin='25.85', mainTempMax='25.85', mainSeaLevel='1024.04', mainGroundLevel='25.85', windSpeed='1.06', windDeg='181.001', rain3H='0.21', cloudsAll='76', dt='1477153548', sysMessage='0.0037', sysCountry='PH', sysSunriseAsTimestamp='1477085797', sysSunsetAsTimestamp='1477128334', sysSunrise='2016-10-21T21:36:37Z', sysSunset='2016-10-22T09:25:34Z', cod='200'}
Weather{id=null, lon='-3.8', lat='43.46', city='Santander', weatherMain='Clouds', weatherDescription='few clouds', weatherIcon='02d', base='stations', mainTemp='20.05', mainPressure='957.14', mainHumidity='54.0', mainTempMin='20.05', mainTempMax='20.05', mainSeaLevel='1016.62', mainGroundLevel='20.05', windSpeed='2.36', windDeg='198.501', rain3H='null', cloudsAll='24', dt='1477153548', sysMessage='0.0155', sysCountry='ES', sysSunriseAsTimestamp='1477118343', sysSunsetAsTimestamp='1477156756', sysSunrise='2016-10-22T06:39:03Z', sysSunset='2016-10-22T17:19:16Z', cod='200'}
Weather{id=null, lon='-0.03', lat='39.98', city='Castello de la Plana', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='17.13', mainPressure='976.02', mainHumidity='98.0', mainTempMin='17.13', mainTempMax='17.13', mainSeaLevel='1021.73', mainGroundLevel='17.13', windSpeed='1.71', windDeg='179.501', rain3H='0.1875', cloudsAll='80', dt='1477153162', sysMessage='0.0029', sysCountry='ES', sysSunriseAsTimestamp='1477117144', sysSunsetAsTimestamp='1477156150', sysSunrise='2016-10-22T06:19:04Z', sysSunset='2016-10-22T17:09:10Z', cod='200'}
Weather{id=null, lon='-3.93', lat='38.98', city='Ciudad Real', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='15.75', mainPressure='943.84', mainHumidity='93.0', mainTempMin='15.75', mainTempMax='15.75', mainSeaLevel='1021.0', mainGroundLevel='15.75', windSpeed='4.66', windDeg='219.501', rain3H='2.015', cloudsAll='92', dt='1477152958', sysMessage='0.1835', sysCountry='ES', sysSunriseAsTimestamp='1477118002', sysSunsetAsTimestamp='1477157165', sysSunrise='2016-10-22T06:33:22Z', sysSunset='2016-10-22T17:26:05Z', cod='200'}
Weather{id=null, lon='-64.18', lat='-31.41', city='Cordoba', weatherMain='Clouds', weatherDescription='broken clouds', weatherIcon='04d', base='stations', mainTemp='17.73', mainPressure='957.54', mainHumidity='82.0', mainTempMin='17.73', mainTempMax='17.73', mainSeaLevel='1028.38', mainGroundLevel='17.73', windSpeed='6.16', windDeg='23.0009', rain3H='null', cloudsAll='56', dt='1477153431', sysMessage='0.0055', sysCountry='AR', sysSunriseAsTimestamp='1477128506', sysSunsetAsTimestamp='1477175640', sysSunrise='2016-10-22T09:28:26Z', sysSunset='2016-10-22T22:34Z', cod='200'}
Weather{id=null, lon='-78.98', lat='-2.88', city='Cuenca', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='17.03', mainPressure='727.49', mainHumidity='62.0', mainTempMin='17.03', mainTempMax='17.03', mainSeaLevel='1023.92', mainGroundLevel='17.03', windSpeed='0.96', windDeg='120.001', rain3H='0.1425', cloudsAll='20', dt='1477153549', sysMessage='0.003', sysCountry='EC', sysSunriseAsTimestamp='1477133666', sysSunsetAsTimestamp='1477177555', sysSunrise='2016-10-22T10:54:26Z', sysSunset='2016-10-22T23:05:55Z', cod='200'}
Weather{id=null, lon='-2.09', lat='43.05', city='Amezqueta', weatherMain='Clouds', weatherDescription='few clouds', weatherIcon='02d', base='stations', mainTemp='18.38', mainPressure='975.13', mainHumidity='61.0', mainTempMin='18.38', mainTempMax='18.38', mainSeaLevel='1018.65', mainGroundLevel='18.38', windSpeed='2.56', windDeg='169.001', rain3H='null', cloudsAll='20', dt='1477153549', sysMessage='0.006', sysCountry='ES', sysSunriseAsTimestamp='1477117896', sysSunsetAsTimestamp='1477156383', sysSunrise='2016-10-22T06:31:36Z', sysSunset='2016-10-22T17:13:03Z', cod='200'}
Weather{id=null, lon='2.82', lat='41.98', city='Girona', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='14.78', mainPressure='1008.29', mainHumidity='100.0', mainTempMin='14.78', mainTempMax='14.78', mainSeaLevel='1022.95', mainGroundLevel='14.78', windSpeed='1.31', windDeg='100.001', rain3H='1.69', cloudsAll='92', dt='1477153549', sysMessage='0.0026', sysCountry='ES', sysSunriseAsTimestamp='1477116624', sysSunsetAsTimestamp='1477155300', sysSunrise='2016-10-22T06:10:24Z', sysSunset='2016-10-22T16:55Z', cod='200'}
